route_name,stem,manual,tour_guess,snippet
Dordrecht - Schoonhoven 26km ENG 2026,dordrecht - schoonhoven,Information about a tour 2026\Amsterdam to Paris\old\Paris - Amsterdam English 2026 update juli.docx,Paris - Amsterdam English 2026 update juli,…cht 20:00: evening city stroll by the bbt-tour guide day 7: dordrecht - schoonhoven (32 km / 20 miles) begin your day with a scenic waterbus ri…
Dordrecht - Schoonhoven 26km ENG 2026,dordrecht - schoonhoven,Information about a tour 2026\Amsterdam to Paris\old\Paris - Amsterdam English 2026 update jun.docx,Paris - Amsterdam English 2026 update jun,…echt 20:00: evening city stroll by the bbt-tourguide day 7: dordrecht - schoonhoven (32 km / 20 miles) begin your day with a scenic waterbus ri…
Dordrecht - Schoonhoven 26km ENG 2026,dordrecht - schoonhoven,Information about a tour 2026\Amsterdam to Paris\old\Paris - Amsterdam English 2026.docx,Paris - Amsterdam English 2026,"…echt 20:00: evening city stroll by the bbt-tourguide day 7: dordrecht - schoonhoven begin your day with a scenic waterbus ride to kinderdijk, a…"
Dordrecht - Schoonhoven 26km ENG 2026,dordrecht - schoonhoven,Information about a tour 2026\Amsterdam to Paris\old\Paris - Amsterdam English.docx,Paris - Amsterdam English,"…next day 20:00: evening city stroll by the tourguide day 7: dordrecht - schoonhoven begin your day with a scenic waterbus ride to kinderdijk, a…"
Enkhuizen - Hoorn 22 km ENG 2026,enkhuizen - hoorn,Information about a tour 2026\Boutique_ North Holland Landscapes & Seascapes\old\Draaiboek Landscapes & Seascapes 2024.docx,Draaiboek Landscapes & Seascapes 2024,"…tie? je doet dit via www.boatbiketours.nl/realisatie day 6: enkhuizen - hoorn (23 km/14 mi. or 35 km/21 mi.) a shorter ride today, taking…"
Enkhuizen - Hoorn 22 km ENG 2026,enkhuizen - hoorn,Information about a tour 2026\Boutique_ North Holland Landscapes & Seascapes\old\Draaiboek Landscapes & Seascapes 2025 - update nov.docx,Draaiboek Landscapes & Seascapes 2025 - update nov,…tie? je doet dit via www.boatbiketours.nl/realisatie day 6: enkhuizen - hoorn (30 km/19 mi. or 35 km/21 mi.) - extra loop a shorter ride …
Enkhuizen - Hoorn 22 km ENG 2026,enkhuizen - hoorn,Information about a tour 2026\S&B_ 8-day Sail & Bike Tulip Tour\old\Draaiboek Tulp SailZaanse Schans Amsterdam.docx,Draaiboek Tulp SailZaanse Schans Amsterdam,…rschillende eetgelegenheden in enkhuizen in dropbox. day 6: enkhuizen - hoorn hoorn - volendam (28 km/20 mi.) in the morning you will joi…
Evry - Melun 29 km ENG 2026,evry - melun,Information about a tour 2026\Premium_ Parijs - Montargis v.v\old\Draaiboek Parijs - Montargis Fleur 2024 (1).docx,Draaiboek Parijs - Montargis Fleur 2024 (1),"…rsenal, ofwel quai de bercy, ofwel austerlitz. day 2 (sun): evry - melun (30 km/19 mi.) after breakfast, the bicycle tour starts fro…"
Evry - Melun 29 km ENG 2026,evry - melun,Information about a tour 2026\Premium_ Parijs - Montargis v.v\old\Draaiboek Parijs - Montargis Fleur 2024(1).docx,Draaiboek Parijs - Montargis Fleur 2024(1),"…rsenal, ofwel quai de bercy, ofwel austerlitz. day 2 (sun): evry - melun (30 km/19 mi.) after breakfast, the bicycle tour starts fro…"
Evry - Melun 29 km ENG 2026,evry - melun,Information about a tour 2026\Premium_ Parijs - Montargis v.v\old\Draaiboek Parijs-Montargis 2026.docx,Draaiboek Parijs-Montargis 2026,"…rsenal, ofwel quai de bercy, ofwel austerlitz. day 2 (fri): evry - melun (30 km/19 mi.) after breakfast, the bicycle tour starts fro…"
Gouda - Oude Wetering 50 km ENG 2026,gouda - oude wetering,Information about a tour 2026\Premium_ 8-day Tulip Tour\Old\Draaiboek Tulp 8 Magnifique 2025.docx,Draaiboek Tulp 8 Magnifique 2025,…0 tourbriefing + hike schedule ship schedule cyclists day 4 gouda - oude wetering 8.00 breakfast 8.00 breakfast 11.30 ship departs to alphen …
Hoorn - Alkmaar - Schoorl  47 km ENG 2025,hoorn - alkmaar - schoorl,Information about a tour 2026\S&B_ 8-day Sail & Bike Tulip Tour\old\Draaiboek SenB Tulip Leafde Fan Fryslan 2025 v2.docx,Draaiboek SenB Tulip Leafde Fan Fryslan 2025 v2,"…sterdam - hoorn (sailing ; testride 7 km/4,5 miles) day 2 : hoorn - alkmaar - schoorl (39 km/24 mi or 47 km/29 mi ) (transfer to medemblik) day 3…"
Hoorn - Alkmaar - Schoorl 39 km ENG 2025,hoorn - alkmaar - schoorl,Information about a tour 2026\S&B_ 8-day Sail & Bike Tulip Tour\old\Draaiboek SenB Tulip Leafde Fan Fryslan 2025 v2.docx,Draaiboek SenB Tulip Leafde Fan Fryslan 2025 v2,"…sterdam - hoorn (sailing ; testride 7 km/4,5 miles) day 2 : hoorn - alkmaar - schoorl (39 km/24 mi or 47 km/29 mi ) (transfer to medemblik) day 3…"
Hoorn - Medemblik 50 km ENG 2026,hoorn - medemblik,Information about a tour 2026\S&B_ 8-day Sail & Bike Tulip Tour\old\Draaiboek SenB Tulip Leafde Fan Fryslan 2025 v2.docx,Draaiboek SenB Tulip Leafde Fan Fryslan 2025 v2,…fing berth hoorn 20.30 hike schedule ship schedule cyclists hoorn - medemblik 39 km/ 25 mi or 47 km / 29 mi 8.00 breakfast 8.00 breakfast…
Hoorn - Medemblik 29 km ENG 2026,hoorn - medemblik,Information about a tour 2026\S&B_ 8-day Sail & Bike Tulip Tour\old\Draaiboek SenB Tulip Leafde Fan Fryslan 2025 v2.docx,Draaiboek SenB Tulip Leafde Fan Fryslan 2025 v2,…fing berth hoorn 20.30 hike schedule ship schedule cyclists hoorn - medemblik 39 km/ 25 mi or 47 km / 29 mi 8.00 breakfast 8.00 breakfast…
Joigny - Auxerre 50 km ENG 2026,joigny - auxerre,"Information about a tour 2026\Premium_ France_ Northern Burgundy, Auxerre – Moret sur Loing or vv Premium\Old\Draaiboek Moret - Auxerre 2025.docx",Draaiboek Moret - Auxerre 2025,…uche en le bistro de chapeau zijn er twee van. day 6 (sun): joigny - auxerre (37 km/ 22 mi or 50 km/31 mi) another leisurely breakfast a…
Joigny - Auxerre 37 km ENG 2026,joigny - auxerre,"Information about a tour 2026\Premium_ France_ Northern Burgundy, Auxerre – Moret sur Loing or vv Premium\Old\Draaiboek Moret - Auxerre 2025.docx",Draaiboek Moret - Auxerre 2025,…uche en le bistro de chapeau zijn er twee van. day 6 (sun): joigny - auxerre (37 km/ 22 mi or 50 km/31 mi) another leisurely breakfast a…
Joigny - Villeneuve-sur-Yonne 47 km ENG 2026,joigny - villeneuve-sur-yonne,"Information about a tour 2026\Premium_ France_ Northern Burgundy, Auxerre – Moret sur Loing or vv Premium\Old\Draaiboek Auxerre - Moret 2025.docx",Draaiboek Auxerre - Moret 2025,… church (met het beeld van de lachende madonna day 4 (fri): joigny - villeneuve-sur-yonne (23 km/15 mi or 46 km/29 mi) what better way to start the d…
Karlstadt - Lohr 31 km ENG 2026,karlstadt - lohr,Information about a tour 2026\Premium_ Asschaffenburg - Bamberg or v.v\Old\Bamberg - Asschaffenburg  2025.docx,Bamberg - Asschaffenburg  2025,"…afé engelchen, cafe denkmal, e71, etc. 🗓️ day 5: würzburg - karlstadt - lohr (ca. 50 km) early morning sailing brings you to karlstadt, …"
Lovendegem - Sas van Gent 30 km ENG 2026,lovendegem - sas van gent,Information about a tour 2026\Premium_ Netherlands & Belgium_ Amsterdam – Bruges vv\Alternatives\Lovendegem - Sas van Gent Route info.docx,Lovendegem - Sas van Gent Route info,"…route lovendegem - sas van gent net na vertrek: kasteel diepenbroeck, (appensvoordestraat) …"
Lovendegem - Sas van Gent 30 km ENG 2026,lovendegem - sas van gent,Information about a tour 2026\Semi-Guided_ Holland & België\Alternatives\Lovendegem - Sas van Gent Route info.docx,Lovendegem - Sas van Gent Route info,"…route lovendegem - sas van gent net na vertrek: kasteel diepenbroeck, (appensvoordestraat) …"
Marktbreit - Würzburg 30 km ENG 2026,marktbreit - würzburg,Information about a tour 2026\Premium_ Asschaffenburg - Bamberg or v.v\Old\Bamberg - Asschaffenburg  2025.docx,Bamberg - Asschaffenburg  2025,"… kloosterwandeling münsterschwarzach, marktbreit. 🗓️ day 4: marktbreit - würzburg (66 km) today’s scenic route includes kitzingen, ochsenfurt…"
miltenberg – Aschaffenburg 50 km ENG 2026,miltenberg - aschaffenburg,Information about a tour 2026\Premium_ Asschaffenburg - Bamberg or v.v\Old\Bamberg - Asschaffenburg  2025.docx,Bamberg - Asschaffenburg  2025,"…café mainland, de mar, franck-stube, schlossberg. 🗓️ day 7: miltenberg - aschaffenburg (ca. 45 km) final cycling day! ride along the main to your …"
Miltenberg – Aschaffenburg 46 km ENG 2026,miltenberg - aschaffenburg,Information about a tour 2026\Premium_ Asschaffenburg - Bamberg or v.v\Old\Bamberg - Asschaffenburg  2025.docx,Bamberg - Asschaffenburg  2025,"…café mainland, de mar, franck-stube, schlossberg. 🗓️ day 7: miltenberg - aschaffenburg (ca. 45 km) final cycling day! ride along the main to your …"
Mook - Venlo 69km ENG 2026,mook - venlo,Information about a tour 2026\ANWB Limburgse Maas\old\Draaiboek Limburgse Maas ANWB 2025.docx,Draaiboek Limburgse Maas ANWB 2025,…rwege de dag verder wordt gevaren deze week. dag 2: cuijk / mook - venlo 66/69 km / venlo - roermond na het ontbijt maak je je op vo…
Mook - Venlo 69km ENG 2026,mook - venlo,Information about a tour 2026\ANWB Limburgse Maas\old\Draaiboek Nijmegen-Maastricht ANWB v.v. 2025 (1).docx,Draaiboek Nijmegen-Maastricht ANWB v.v. 2025 (1),…rwege de dag verder wordt gevaren deze week. dag 2: cuijk / mook - venlo 66/69 km / venlo - roermond na het ontbijt maak je je op vo…
Moret - Nemours  49 km ENG 2026,moret - nemours,Information about a tour 2026\Premium_ Parijs - Montargis v.v\old\Draaiboek Parijs - Montargis Fleur 2024 (1).docx,Draaiboek Parijs - Montargis Fleur 2024 (1),…ret 20.30 town walk schedule ship schedule cyclists tuesday moret - nemours 38 km/23 mi or 49 km/31 mi 8.00 breakfast 8.00 breakfast 9.…
Moret - Nemours  49 km ENG 2026,moret - nemours,Information about a tour 2026\Premium_ Parijs - Montargis v.v\old\Draaiboek Parijs - Montargis Fleur 2024(1).docx,Draaiboek Parijs - Montargis Fleur 2024(1),…ret 20.30 town walk schedule ship schedule cyclists tuesday moret - nemours 38 km/23 mi or 49 km/31 mi 8.00 breakfast 8.00 breakfast 9.…
Moret - Nemours  49 km ENG 2026,moret - nemours,Information about a tour 2026\Premium_ Parijs - Montargis v.v\old\Draaiboek Parijs-Montargis 2026.docx,Draaiboek Parijs-Montargis 2026,…ret 20.30 town walk schedule ship schedule cyclists tuesday moret - nemours 38 km/23 mi or 49 km/31 mi 8.00 breakfast 8.00 breakfast 9.…
Moret - Nemours 38 km ENG 2026,moret - nemours,Information about a tour 2026\Premium_ Parijs - Montargis v.v\old\Draaiboek Parijs - Montargis Fleur 2024 (1).docx,Draaiboek Parijs - Montargis Fleur 2024 (1),…ret 20.30 town walk schedule ship schedule cyclists tuesday moret - nemours 38 km/23 mi or 49 km/31 mi 8.00 breakfast 8.00 breakfast 9.…
Moret - Nemours 38 km ENG 2026,moret - nemours,Information about a tour 2026\Premium_ Parijs - Montargis v.v\old\Draaiboek Parijs - Montargis Fleur 2024(1).docx,Draaiboek Parijs - Montargis Fleur 2024(1),…ret 20.30 town walk schedule ship schedule cyclists tuesday moret - nemours 38 km/23 mi or 49 km/31 mi 8.00 breakfast 8.00 breakfast 9.…
Moret - Nemours 38 km ENG 2026,moret - nemours,Information about a tour 2026\Premium_ Parijs - Montargis v.v\old\Draaiboek Parijs-Montargis 2026.docx,Draaiboek Parijs-Montargis 2026,…ret 20.30 town walk schedule ship schedule cyclists tuesday moret - nemours 38 km/23 mi or 49 km/31 mi 8.00 breakfast 8.00 breakfast 9.…
Nemours - Moret 43 km ENG 2026,nemours - moret,Information about a tour 2026\Premium_ Parijs - Montargis v.v\old\Draaiboek Montargis -Parijs Fleur 2024.docx,Draaiboek Montargis -Parijs Fleur 2024,…water met voldoende schaduw. een uniek plekje. day 5 (wed): nemours - moret-sur-loing (32 km/19 mi or 43 km/26 mi.) today you stay in t…
Nemours - Moret 43 km ENG 2026,nemours - moret,Information about a tour 2026\Premium_ Parijs - Montargis v.v\old\Draaiboek Montargis-Parijs Fleur 2024.docx,Draaiboek Montargis-Parijs Fleur 2024,"…de nemours, dagelijks geopend van 11.00-22.00. day 5 (wed): nemours - moret-sur-loing (32 km/19 mi or 43 km/26 mi.) today you stay in t…"
Pont-sur-Yonne - Sens 46 km ENG 2026,pont-sur-yonne - sens,"Information about a tour 2026\Premium_ France_ Northern Burgundy, Auxerre – Moret sur Loing or vv Premium\Old\Draaiboek Moret - Sens 2025.docx",Draaiboek Moret - Sens 2025,…rderij? vandaag of morgen (imker bij thorigny)? day 5 sat : pont-sur-yonne - sens (35-42 km/20.5-26 mi.) today you have the option to follow …
Pont-sur-Yonne - Sens 34 km ENG 2026,pont-sur-yonne - sens,"Information about a tour 2026\Premium_ France_ Northern Burgundy, Auxerre – Moret sur Loing or vv Premium\Old\Draaiboek Moret - Sens 2025.docx",Draaiboek Moret - Sens 2025,…rderij? vandaag of morgen (imker bij thorigny)? day 5 sat : pont-sur-yonne - sens (35-42 km/20.5-26 mi.) today you have the option to follow …
Remagen - Koblenz 46 km ENG 2026,remagen - koblenz,Information about a tour 2026\Premium_ Amsterdam - Cochem\Draaiboek Amsterdam-Cochem 2026.docx,Draaiboek Amsterdam-Cochem 2026,…nelle groep kan hier geluncht worden. dag 6: bonn - remagen remagen - koblenz (± 44 km) during breakfast we sail to remagen. your cycling…
Remagen - Koblenz 46 km ENG 2026,remagen - koblenz,Information about a tour 2026\Premium_ Amsterdam - Cochem\Old\Draaiboek Amsterdam - Cochem 2024.docx,Draaiboek Amsterdam - Cochem 2024,… (kabel meenemen!) fietsen aan boord! day 6: bonn - remagen remagen - koblenz (44 km/27 mi) during breakfast we sail to remagen. your cyc…
Remagen - Koblenz 43 km ENG 2026,remagen - koblenz,Information about a tour 2026\Premium_ Amsterdam - Cochem\Draaiboek Amsterdam-Cochem 2026.docx,Draaiboek Amsterdam-Cochem 2026,…nelle groep kan hier geluncht worden. dag 6: bonn - remagen remagen - koblenz (± 44 km) during breakfast we sail to remagen. your cycling…
Remagen - Koblenz 43 km ENG 2026,remagen - koblenz,Information about a tour 2026\Premium_ Amsterdam - Cochem\Old\Draaiboek Amsterdam - Cochem 2024.docx,Draaiboek Amsterdam - Cochem 2024,… (kabel meenemen!) fietsen aan boord! day 6: bonn - remagen remagen - koblenz (44 km/27 mi) during breakfast we sail to remagen. your cyc…
Roermond - Arcen 49 km ENG 2026,roermond - arcen,Information about a tour 2026\Boutique_ Amsterdam - Maastricht vv\Draaiboek Maastricht-Amsterdam 2026[35].docx,Draaiboek Maastricht-Amsterdam 2026[35],…0 city walk roermond schedule ship schedule cyclists monday roermond - arcen 50 km/30 mi 8.00 breakfast 8.00 breakfast 9.30 departure sh…
Roermond - Arcen 49 km ENG 2026,roermond - arcen,Information about a tour 2026\Boutique_ Amsterdam - Maastricht vv\Old\Draaiboek Maastricht-Amsterdam 2024.docx,Draaiboek Maastricht-Amsterdam 2024,…0 city walk roermond schedule ship schedule cyclists monday roermond - arcen 50 km/30 mi 8.00 breakfast 8.00 breakfast 9.30 departure sh…
Roermond - Arcen 49 km ENG 2026,roermond - arcen,Information about a tour 2026\Boutique_ Amsterdam - Maastricht vv\Old\Draaiboek Maastricht-Amsterdam 2026.docx,Draaiboek Maastricht-Amsterdam 2026,…0 city walk roermond schedule ship schedule cyclists monday roermond - arcen 50 km/30 mi 8.00 breakfast 8.00 breakfast 9.30 departure sh…
Rødvig - Køge 44 km ENG 2026,rødvig - køge,Information about a tour 2026\S&B_ Denmark & Sweden DB\Old\Draaiboek Denmark-Sweden 2026.docx,Draaiboek Denmark-Sweden 2026,…e (vallø castle 46km/28.5mi or stevns klint 62km/38.5mi) or rødvig - køge 44km/27.5mi or sailing day today you and your bikes will st…
Schoonhoven - Utrecht 44 km ENG 2026,schoonhoven - utrecht,Information about a tour 2026\Amsterdam to Paris\old\Paris - Amsterdam English 2026 May update.docx,Paris - Amsterdam English 2026 May update,"…liaans restaurant döner and snackbars are also open. day 8: schoonhoven - utrecht begin your day with a scenic waterbus ride to kinderdijk, a…"
Schoonhoven - Utrecht 44 km ENG 2026,schoonhoven - utrecht,Information about a tour 2026\Amsterdam to Paris\old\Paris - Amsterdam English 2026 update juli(1).docx,Paris - Amsterdam English 2026 update juli(1),…liaans restaurant döner and snackbars are also open. day 8: schoonhoven - utrecht (44 / 50 km - 27 / 31 miles) today’s ride leads you through…
Schoonhoven - Utrecht 44 km ENG 2026,schoonhoven - utrecht,Information about a tour 2026\Amsterdam to Paris\old\Paris - Amsterdam English 2026 update juli.docx,Paris - Amsterdam English 2026 update juli,…liaans restaurant döner and snackbars are also open. day 8: schoonhoven - utrecht (44 / 50 km - 27 / 31 miles) today’s ride leads you through…
Schoonhoven - Utrecht 44 km ENG 2026,schoonhoven - utrecht,Information about a tour 2026\Amsterdam to Paris\old\Paris - Amsterdam English 2026 update jun.docx,Paris - Amsterdam English 2026 update jun,…liaans restaurant döner and snackbars are also open. day 8: schoonhoven - utrecht (44 / 50 km - 27 / 31 miles) today’s ride leads you through…
Schoonhoven - Utrecht 44 km ENG 2026,schoonhoven - utrecht,Information about a tour 2026\Amsterdam to Paris\old\Paris - Amsterdam English 2026.docx,Paris - Amsterdam English 2026,"…together. 17:00: back on board. 18:30: diner in town day 8: schoonhoven - utrecht begin your day with a scenic waterbus ride to kinderdijk, a…"
Schoonhoven - Utrecht 44 km ENG 2026,schoonhoven - utrecht,Information about a tour 2026\Amsterdam to Paris\old\Paris - Amsterdam English.docx,Paris - Amsterdam English,"…together. 17:00: back on board. 18:30: diner in town day 8: schoonhoven - utrecht begin your day with a scenic waterbus ride to kinderdijk, a…"
Schoonhoven - Utrecht 44 km ENG 2026,schoonhoven - utrecht,Information about a tour 2026\Premium_ Netherlands & Belgium_ Amsterdam – Bruges vv\old\Draaiboek Brugge-Amsterdam Premium 2025.docx,Draaiboek Brugge-Amsterdam Premium 2025,"…rs.nl/realisatie day 6: dordrecht - kinderdijk kinderdijk - schoonhoven - utrecht (32 km/19 mi. or 58 km/36 mi.) today, your cycling tour beg…"
Schoonhoven - Utrecht 44 km ENG 2026,schoonhoven - utrecht,Information about a tour 2026\Semi-Guided_ Southern tour\Stadsplattegronden\Draaiboek Zuidroute 2026 DAM-vs1-BK.docx,Draaiboek Zuidroute 2026 DAM-vs1-BK,…check with manager) schedule ship schedule guests wednesday schoonhoven - utrecht - haarlem 45 km - 28 mi 7:15-8:30 breakfast 8:30 bike ride …
Schoonhoven - Utrecht 44 km ENG 2026,schoonhoven - utrecht,Information about a tour 2026\Semi-Guided_ Southern tour\old\Draaiboek Zuidroute 2025 ARK (1)(1).docx,Draaiboek Zuidroute 2025 ARK (1)(1),….00 music night ?? schedule ship schedule cyclists thursday schoonhoven - utrecht - haarlem 45 km - 28 mi 7.15-8.30 breakfast 8.30 bike ride …
Schoonhoven - Utrecht 44 km ENG 2026,schoonhoven - utrecht,Information about a tour 2026\Semi-Guided_ Southern tour\old\Draaiboek Zuidroute 2025 ARK (1).docx,Draaiboek Zuidroute 2025 ARK (1),….00 music night ?? schedule ship schedule cyclists thursday schoonhoven - utrecht - haarlem 45 km - 28 mi 7.15-8.30 breakfast 8.30 bike ride …
Schoonhoven - Utrecht 44 km ENG 2026,schoonhoven - utrecht,Information about a tour 2026\Semi-Guided_ Southern tour\old\Draaiboek Zuidroute 2025 ARK (2).docx,Draaiboek Zuidroute 2025 ARK (2),"…h schoonhoven, lek schedule ship schedule cyclists thursday schoonhoven - utrecht - amsterdam 45 km - 28 mi 7.15-8.30 breakfast 8.30 bike rid…"
Schoonhoven - Utrecht 44 km ENG 2026,schoonhoven - utrecht,Information about a tour 2026\Semi-Guided_ Southern tour\old\Draaiboek Zuidroute 2025 ARK.docx,Draaiboek Zuidroute 2025 ARK,….00 music night ?? schedule ship schedule cyclists thursday schoonhoven - utrecht - haarlem 45 km - 28 mi 7.15-8.30 breakfast 8.30 bike ride …
Schoonhoven - Utrecht 44 km ENG 2026,schoonhoven - utrecht,Information about a tour 2026\Semi-Guided_ Southern tour\old\Draaiboek Zuidroute 2025 DAM.docx,Draaiboek Zuidroute 2025 DAM,…eck with manager) schedule ship schedule cyclists wednesday schoonhoven - utrecht - haarlem 45 km - 28 mi 7.15-8.30 breakfast 8.30 bike ride …
Spijkerboor - Alkmaar 41 km ENG 2026,spijkerboor - alkmaar,Information about a tour 2026\Boutique_ Tulip tour 8-days Premium\Old\Draaiboek Tulp 8 Boutique 2025.docx,Draaiboek Tulp 8 Boutique 2025,…boatbiketours.nl/realisatie day 6 : purmerend - spijkerboor spijkerboor - alkmaar (32 km/20 mi. or 43 km/27 mi.) this morning you cycle to th…
Spijkerboor - Alkmaar 30 km ENG 2026,spijkerboor - alkmaar,Information about a tour 2026\Boutique_ Tulip tour 8-days Premium\Old\Draaiboek Tulp 8 Boutique 2025.docx,Draaiboek Tulp 8 Boutique 2025,…boatbiketours.nl/realisatie day 6 : purmerend - spijkerboor spijkerboor - alkmaar (32 km/20 mi. or 43 km/27 mi.) this morning you cycle to th…
Terneuzen - Antwerp 64 km ENG 2026,terneuzen - antwerp,Information about a tour 2026\Premium_ Netherlands & Belgium_ Amsterdam – Bruges vv\Alternatives\Route Dag 4 Terneuzen - Antwerpen.docx,Route Dag 4 Terneuzen - Antwerpen,…route dag 4 terneuzen - antwerpen dit is de route die caroline deiman vandaag (6 augustus 2…
Terneuzen - Antwerp 64 km ENG 2026,terneuzen - antwerp,Information about a tour 2026\Semi-Guided_ Holland & België\Alternatives\Route Dag 4 Terneuzen - Antwerpen.docx,Route Dag 4 Terneuzen - Antwerpen,…route dag 4 terneuzen - antwerpen dit is de route die caroline deiman vandaag (6 augustus 2…
Terneuzen - Antwerpen 58 km ENG 2026,terneuzen - antwerpen,Information about a tour 2026\Premium_ Netherlands & Belgium_ Amsterdam – Bruges vv\Alternatives\Route Dag 4 Terneuzen - Antwerpen.docx,Route Dag 4 Terneuzen - Antwerpen,…route dag 4 terneuzen - antwerpen dit is de route die caroline deiman vandaag (6 augustus 202…
Terneuzen - Antwerpen 58 km ENG 2026,terneuzen - antwerpen,Information about a tour 2026\Semi-Guided_ Holland & België\Alternatives\Route Dag 4 Terneuzen - Antwerpen.docx,Route Dag 4 Terneuzen - Antwerpen,…route dag 4 terneuzen - antwerpen dit is de route die caroline deiman vandaag (6 augustus 202…
Tholen - Kreekrak 21km ENG 2026,tholen - kreekrak,Information about a tour 2026\Netherlands & Belgium_ Amsterdam – Bruges or Bruges – Amsterdam Relax\old\Draaiboek Adam - Brugge RELAX 2022.docx,Draaiboek Adam - Brugge RELAX 2022,"…, mooi terras. van te voren even bellen: 0167502621. day 5: tholen - kreekrak lock kreekrak locks - antwerp (20 km/13 mi. or 36 km/23 mi.…"
Tholen - Kreekrak 21km ENG 2026,tholen - kreekrak,Information about a tour 2026\Semi-Guided_ Holland & België\old\Draaiboek Adam - Brugge Fluvius 2024.docx,Draaiboek Adam - Brugge Fluvius 2024,…ht buiten walenvest (t/o nr. 126) day 3: dordrecht - tholen tholen - kreekrak lock kreekrak lock - antwerp (20 km/13 mi. or 36 km/23 mi.)…
Tholen - Kreekrak 21km ENG 2026,tholen - kreekrak,Information about a tour 2026\Semi-Guided_ Holland & België\old\Draaiboek Adam - Brugge Semi-Guided 2025.docx,Draaiboek Adam - Brugge Semi-Guided 2025,…diotours en plattegrond in de app day 3: dordrecht - tholen tholen - kreekrak lock kreekrak lock - antwerp (20 km/13 mi. or 36 km/23 mi.)…
Thorn - Venlo 55 km ENG 2026,thorn - venlo,Information about a tour 2026\ANWB Limburgse Maas\old\Draaiboek Limburgse Maas ANWB 2025.docx,Draaiboek Limburgse Maas ANWB 2025,…se andere pittoreske straatjes; dag 5: maastricht - thorn / thorn - venlo ca. 45 of 60 km. tijdens het ontbijt zet het schip koers na…
Thorn - Venlo 55 km ENG 2026,thorn - venlo,Information about a tour 2026\ANWB Limburgse Maas\old\Draaiboek Nijmegen-Maastricht ANWB v.v. 2025 (1).docx,Draaiboek Nijmegen-Maastricht ANWB v.v. 2025 (1),…se andere pittoreske straatjes; dag 5: maastricht - thorn / thorn - venlo ca. 45 of 60 km. tijdens het ontbijt zet het schip koers na…
Thorn - Venlo 55 km ENG 2026,thorn - venlo,Information about a tour 2026\ANWB Limburgse Maas\old\Draaiboek Nijmegen-Maastricht ANWB v.v. 2025.docx,Draaiboek Nijmegen-Maastricht ANWB v.v. 2025,…se andere pittoreske straatjes; dag 5: maastricht - thorn / thorn - venlo ca. 45 of 60 km. tijdens het ontbijt zet het schip koers na…
Utrecht - Breukelen 19km ENG 2026,utrecht - breukelen,Information about a tour 2026\Amsterdam to Paris\old\Paris - Amsterdam English 2026 May update.docx,Paris - Amsterdam English 2026 May update,"…this first thing next morning (doelen: +31206530981) day 9: utrecht - breukelen - amsterdam in the morning, enjoy breakfast and prepare for…"
Utrecht - Breukelen 19km ENG 2026,utrecht - breukelen,Information about a tour 2026\Amsterdam to Paris\old\Paris - Amsterdam English 2026 update juli(1).docx,Paris - Amsterdam English 2026 update juli(1),"…this first thing next morning (doelen: +31206530981) day 9: utrecht - breukelen - amsterdam (34 / 36 km - 21 / 22 miles) in the morning, en…"
Utrecht - Breukelen 19km ENG 2026,utrecht - breukelen,Information about a tour 2026\Amsterdam to Paris\old\Paris - Amsterdam English 2026 update juli.docx,Paris - Amsterdam English 2026 update juli,"…this first thing next morning (doelen: +31206530981) day 9: utrecht - breukelen - amsterdam (34 / 36 km - 21 / 22 miles) in the morning, en…"
Utrecht - Breukelen 19km ENG 2026,utrecht - breukelen,Information about a tour 2026\Amsterdam to Paris\old\Paris - Amsterdam English 2026 update jun.docx,Paris - Amsterdam English 2026 update jun,"…this first thing next morning (doelen: +31206530981) day 9: utrecht - breukelen - amsterdam (34 / 36 km - 21 / 22 miles) in the morning, en…"
Utrecht - Breukelen 19km ENG 2026,utrecht - breukelen,Information about a tour 2026\Amsterdam to Paris\old\Paris - Amsterdam English 2026.docx,Paris - Amsterdam English 2026,"…omorrow. ask guests to label luggage with last name. day 9: utrecht - breukelen - amsterdam in the morning, enjoy breakfast and prepare for…"
Utrecht - Breukelen 19km ENG 2026,utrecht - breukelen,Information about a tour 2026\Amsterdam to Paris\old\Paris - Amsterdam English.docx,Paris - Amsterdam English,"…fing 18:30: dinner on board (tip envelops in cabins) day 9: utrecht - breukelen - amsterdam in the morning, enjoy breakfast and prepare for…"
Utrecht - Breukelen 19km ENG 2026,utrecht - breukelen,Information about a tour 2026\Premium_ Netherlands & Belgium_ Amsterdam – Bruges vv\old\Draaiboek Brugge-Amsterdam Premium 2025.docx,Draaiboek Brugge-Amsterdam Premium 2025,"…derdag en vrijdag 10.00-16.00, zaterdag 10.00-13.00. day 7: utrecht - breukelen breukelen - amsterdam (38 km/24 mi. or 47 km/29 mi.) during…"
Venlo - Cuijk 66 km ENG 2026,venlo - cuijk,Information about a tour 2026\ANWB Limburgse Maas\old\Draaiboek Limburgse Maas ANWB 2025.docx,Draaiboek Limburgse Maas ANWB 2025,"…erij vrij) opening: ma gesloten, di-zo 11-17 geopend; dag 6 venlo - cuijk /mook cuijk/mook - grave - cuijk/mook (43 km) van cuijk/moo…"
