SNEEK - LEMMER    50.1 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Rechts abbiegen auf Schouwstraat
    0.2 km   Links abbiegen auf Valkstraat
    0.4 km   Rechts abbiegen
    0.4 km   Links abbiegen
    0.5 km   Links abbiegen
    0.5 km   Links halten
    0.6 km   Leicht rechts abbiegen auf Leeuwarderweg
    0.7 km   Im Kreisverkehr Ausfahrt 4 auf Jousterkade nehmen
    0.8 km   Rechts abbiegen auf Kleinzand
    1.1 km   Links abbiegen auf Gedempte Poortezijlen
    1.4 km   Leicht rechts abbiegen auf Hoogend
    1.8 km   Rechts abbiegen auf Lemmerweg
    1.9 km   Links abbiegen auf IJlsterplein
    1.9 km   Rechts abbiegen auf Lemmerweg (follow 1.1 km)
    2.9 km   Links halten auf Lemmerweg
    3.0 km   Scharf rechts abbiegen auf Koningsspil
    3.1 km   Rechts abbiegen auf Koningsspil
    3.2 km   Dem Straßenverlauf von Koningsspil folgen
    3.3 km   Rechts abbiegen
    3.3 km   Dem Straßenverlauf von Molenkrite folgen
    3.7 km   Links abbiegen auf de Wieken
    3.9 km   Links abbiegen auf de Wieken
    3.9 km   Links abbiegen auf Sneekerpad
    4.1 km   Links halten (follow 1.6 km)
  ★ 5.2 km  [see] Terpensmolen
  ★ 5.5 km  [see] Molen De Rat
  ★ 5.5 km  [coffee] Utherne IJlst
    5.6 km   Links abbiegen auf Sneekerpad
    5.6 km   Scharf rechts abbiegen auf Sneekerpad
    5.7 km   Links abbiegen auf De Dassenboarch
    5.8 km   Links abbiegen auf De Dassenboarch
    5.9 km   Dem Straßenverlauf von De Dassenboarch folgen
    6.0 km   Rechts abbiegen auf Sudergoweg
    6.2 km   Rechts abbiegen auf Galamagracht
  ★ 6.5 km  [coffee] Stadsherberg Het Wapen Van IJlst — +31 515 531315
    6.7 km   Links abbiegen auf Jurjen Hoomansstraat
    7.2 km   Links halten auf Harinxmaweg
    7.5 km   Rechts halten auf Harinxmaweg
    7.5 km   Links abbiegen auf Ylostinslaan
    7.6 km   Links abbiegen auf Nijesyl
    8.2 km   Leicht rechts abbiegen auf Nijesyl
    8.2 km   Scharf links abbiegen auf Alde Skatting (follow 3.2 km)
   11.4 km   Rechts abbiegen
   11.4 km   Rechts halten
   12.0 km   Scharf links abbiegen
   12.0 km   Links abbiegen
   12.6 km   Rechts abbiegen auf Tollewei
   13.4 km   Links abbiegen auf Tuskenwei
   13.5 km   Links abbiegen auf Nijedyk
   13.8 km   Rechts abbiegen auf Harinxmastrjitte
  ★ 13.9 km  [see] Viewpoint Heegermeer
   14.4 km   Rechts halten
   15.1 km   Rechts abbiegen
   15.2 km   Scharf rechts abbiegen
   15.7 km   Leicht links abbiegen
   15.7 km   Links halten (follow 2.4 km)
   18.2 km   Rechts abbiegen
   18.2 km   Links abbiegen (follow 1.1 km)
   19.3 km   Links abbiegen auf Jeltewei
   19.4 km   Links abbiegen
   19.8 km   Links abbiegen auf Strjitwei (follow 2.3 km)
   22.1 km   Links abbiegen
   22.4 km   Rechts abbiegen auf Vosseleane
   23.3 km   Rechts abbiegen auf Vosseleane
  ★ 23.6 km  [coffee] De Watersport
  ★ 23.8 km  [see] Molen 't Lam + shop
   23.9 km   Links halten auf Ypecolsga (follow 2.9 km)
   26.8 km   Links abbiegen auf Warrensterwei (follow 1.0 km)
   27.8 km   Scharf links abbiegen auf Warrensterwei (follow 1.1 km)
   28.9 km   Rechts abbiegen auf Markant
   29.5 km   Rechts abbiegen auf Markant (follow 1.4 km)
  ★ 29.6 km  [swimming] Balk Beach
  ★ 29.6 km  [coffee] Keimpe
   30.9 km   Links abbiegen auf Meerweg
   31.0 km   Leicht links abbiegen auf Dubbelstraat
   31.4 km   Rechts halten (follow 1.4 km)
   32.8 km   Links halten
   33.6 km   Links abbiegen (follow 3.2 km)
   36.9 km   Rechts abbiegen auf Lytse Jerden
   37.2 km   Links abbiegen auf Wijckelerweg
  ★ 37.4 km  [convenience_store] Bakkerij Oranjekoek
  ★ 37.4 km  [coffee] De Zeven Wouden, Sloten
  ★ 37.4 km  [restroom] Public toilets Sloten
   37.7 km   Links abbiegen auf Arjen Rypkemawei (follow 2.3 km)
   40.0 km   Links abbiegen auf De ledyk (follow 2.1 km)
   42.0 km   Links abbiegen auf Sondelerdyk (follow 4.2 km)
   46.3 km   Rechts abbiegen auf Plattedijk
   46.3 km   Links abbiegen auf Plattedijk
   46.4 km   Rechts abbiegen auf Gemaalweg
  ★ 46.8 km  [see] Gemaal Wouda
   46.9 km   Wenden auf Gemaalweg
   47.3 km   Links abbiegen auf Plattedijk
   47.4 km   Rechts abbiegen auf Plattedijk
   47.4 km   Rechts abbiegen auf Plattedijk
  ★ 47.5 km  [see] Foto Wouda Gemaal
   47.8 km   Rechts abbiegen (follow 1.9 km)
  ★ 49.1 km  [swimming] Strand Lemmer
   49.6 km   Dem Straßenverlauf von Stationsweg folgen
   49.7 km   Rechts abbiegen auf Vuurtorenweg
  ★ 50.1 km  [dock/stay] Docking Lemmer
