CUIJK - VENLO    66.2 km    · signs & notes only ·

DIRECTIONS
  ★ 0.1 km  [dock/stay] Aanlegplaats Cuijk
    0.2 km   Turn right onto Waaistraat
    0.3 km   Turn left onto Maasstraat
    0.3 km   Turn left onto Grotestraat
    1.2 km   At roundabout, take exit 4 onto Hagelkruis
    1.2 km   At roundabout, take exit 1 onto Hapsebaan
    1.4 km   Turn left
    1.5 km   Turn right onto Odiliadijk (follow 1.7 km)
  ★ 1.7 km  [see] Via Valentiniana — In de Romeinse tijd lag er langs de Maas een drukke verkeersroute van Tongeren en Maastricht naar Nijmegen. Deze weg heeft eeuwenlang dienst gedaan. De fietsroute is vernoemd naar de Romeinse keizer Valentinianus. In 368 na Chr. bezocht hij Ceuclum (Cuijk),
    3.2 km   Continue onto Kloosterlaan
  ★ 3.6 km  [see] Klooster / kloostertuinen St Agatha — Wordt sinds 1371 onafgebroken bewoond door de Kruisheren. Nu Efgoedcentrum Nederlands Kloosterleven. Klooster gesloten/tuinen open
    4.1 km   Turn sharp left
    4.1 km   Turn right
    4.5 km   Turn slight left onto Rijtjes
  ★ 5.0 km  [see] Maasheggen — Julius Caesar een geweldig veldheer. Toch treft leger van Caesar een geduchte tegenstander: de Maasheggen. Zijn leger werd gehinderd door de heggen:  jonge bomen werden gekapt, zonder ze geheel door te hakken werden ze omgebogen en vervlochten met doorn- en braamstruiken. Zo vormen deze houtwallen een verschansing, zodat men er niet alleen niet door kan dringen, maar ook  niet doorheen kan kijken’.
    5.5 km   Turn left onto Rijtjes
    6.1 km   Turn left
    7.1 km   Turn right (follow 1.1 km)
  ★ 7.5 km  [coffee] Café Het Veerhuis — Maandag open v.a. 10 uur
    8.1 km   Turn left onto Veerweg (follow 1.1 km)
    9.2 km   Turn right onto Brabantweg
    9.4 km   Continue onto Spoorwegje
    9.5 km   Continue onto Brabantweg
    9.7 km   Turn right
    9.7 km   At roundabout, take exit 1 onto Heijenseweg
    9.8 km   Turn right onto Heijenseweg
   10.4 km   Turn right (follow 1.2 km)
   11.6 km   Continue onto Hoofdstraat
   11.8 km   Turn right onto Boxmeerseweg
  ★ 11.8 km  [coffee] Eeterij Heiks Hepke — maandag open v.a. 11:30 uur
   12.2 km   Turn left onto Mergeldijk (follow 1.4 km)
  ★ 12.6 km  [see] Huys Heijen — kasteel uit de 16e eeuw. Privé bezit.
   13.6 km   Turn right onto Hoofdstraat
   13.6 km   Turn right onto Hoofdstraat
   14.1 km   Turn right (follow 4.1 km)
   18.2 km   Turn left onto Veerweg
   18.3 km   Turn right onto Gening
   18.3 km   Turn left onto Veerweg
   18.4 km   Turn right onto Veerweg
   18.6 km   Turn right onto Dorpsstraat
   18.9 km   Turn left onto Kapelstraat
   19.0 km   Turn right onto Langstraat
   19.6 km   Turn left onto Rimpelt
   19.8 km   Turn right onto Spitsbrug (follow 1.8 km)
   21.6 km   Turn right
   21.8 km   Turn left onto Heukelom
   21.8 km   Turn right onto Heukelom
   22.0 km   Turn left onto Heukelom (follow 2.3 km)
   24.2 km   Turn left onto Kerkstraat
   24.5 km   Keep left onto Cees Adamsepad
   25.2 km   Turn slight left onto Kerkstraat
   25.4 km   Turn left onto Daem van Kekenstraat
  ★ 25.5 km  [shopping] Lidl
  ★ 25.5 km  [coffee] Bakkerij Arts — Maandag open v.a. 8:30 uur
   25.5 km   Turn right onto Raadhuisstraat
   25.7 km   Continue onto Jeroen Boschstraat
   26.0 km   Turn right
   26.2 km   Turn left onto Vogellaan
   26.8 km   Turn sharp right onto Oude Baan (follow 3.4 km)
   30.1 km   Turn right
  ★ 30.1 km  [food] Brasserie In de Sluis — Bezoekerscentrum. Toiletten
   30.3 km   Turn right onto Bosserheide
   30.3 km   Turn right
   30.7 km   Turn slight right (follow 1.4 km)
   32.1 km   Turn right onto De Vissert
   32.1 km   Turn left onto De Vissert
   32.5 km   Turn right onto Elsterendijk (follow 2.6 km)
  ★ 34.4 km  [see] Kasteel Well — 15e eeuw. Particulier bezit. Niet te bezichtigen.
   35.1 km   Turn right onto Weideweg
   35.6 km   Keep right onto Geysselberg (follow 2.3 km)
   37.8 km   Keep left onto Zwartebroekseweg
   38.4 km   Turn left onto Catharinastraat
   38.9 km   Turn slight left onto Catharinastraat
   38.9 km   Keep left onto Beekstraat
   39.4 km   Turn left onto Kruisstraat
