LEMMER - STAVOREN    42.9 km    · signs & notes only ·

DIRECTIONS
    0.3 km   Blijf op Vuurtorenweg
    0.4 km   Linksaf naar Stationsweg
    0.5 km   Houd links aan
    0.8 km   Houd links aan
    1.0 km   Houd links aan
    1.1 km   Houd links aan
    1.1 km   Houd rechts aan
    1.3 km   Houd links aan
    1.6 km   Houd links aan
    1.9 km   Houd links aan
    2.0 km   Rechtsaf naar Plattedijk
    2.3 km   Linksaf naar Plattedijk (follow 3.3 km)
  ★ 2.7 km  [see] Woudagemaal
    5.6 km   Blijf op Plattedijk (follow 1.3 km)
    6.9 km   Rechtsaf naar De ledyk (follow 2.1 km)
    9.0 km   Rechtsaf naar Bonnebrekkenwei (follow 2.3 km)
  ★ 11.0 km  [see] Sloten
   11.3 km   Blijf op Wijckelerweg
   11.6 km   Linksaf naar Lytse Jerden (follow 3.2 km)
   14.8 km   Linksaf
   15.0 km   Houd links aan
   15.1 km   Houd rechts aan naar Menno van Coehoornweg
   15.4 km   Linksaf naar Jeen Hornstraweg
   15.4 km   Ga rechtsaf naar Iwert (follow 1.1 km)
   16.5 km   Rechtsaf naar Lijnbaen
   17.0 km   Linksaf naar De Vinkebuorren (follow 1.3 km)
   18.3 km   Linksaf naar Jacobus Boomsmastraat
   18.7 km   Rechtsaf naar Delbuursterweg
   19.0 km   Linksaf naar It Gaestdijk (follow 1.1 km)
   20.1 km   Rechtsaf naar Krúspaed
   20.4 km   Linksaf naar De Bremer Wyldernis
   20.7 km   Blijf op De Bremer Wyldernis
   20.7 km   Houd links aan naar De Bremer Wyldernis
   21.3 km   Ga linksaf
   21.6 km   Rechtsaf naar Nij Amerika
   21.7 km   Linksaf
   21.9 km   Linksaf
   22.1 km   Houd links aan
   22.2 km   Houd rechts aan
   22.4 km   Houd links aan
   22.6 km   Houd rechts aan naar Heidepaed
   22.7 km   Rechtsaf (follow 1.3 km)
   24.1 km   Rechtsaf
   24.7 km   Linksaf
   24.7 km   Linksaf naar De Houtwâl
   25.1 km   Houd links aan (follow 1.3 km)
   26.5 km   Linksaf
   26.5 km   Linksaf naar Fonteinwei
   27.0 km   Rechtsaf naar De Alde Buorren
   27.0 km   Make a U-turn onto De Alde Buorren
   27.2 km   Rechtsaf naar Jan Schotanuswei and drive toward Rijs, Bakhuizen, Stavoren
   27.8 km   Houd links aan
   27.9 km   Houd rechts aan
   28.1 km   Houd rechts aan
   28.4 km   Houd rechts aan
   28.6 km   Ga rechtsaf naar Huningspaed (follow 4.9 km)
   33.5 km   Linksaf naar Wieldyk and drive toward IJsselmeer, Roode Klif, Stavoren (follow 8.9 km)
   42.4 km   Houd links aan naar Smidstraat
   42.7 km   Linksaf naar Stationsweg
   42.7 km   Rechtsaf naar Stationsweg
  ★ 42.8 km  [dock/stay] Ligplaats Stavoren
   42.9 km   Linksaf naar Stationsweg
   42.9 km   Linksaf
