ALBLASSERDAM - KINDERDIJK - NIEUWPOORT (VIA GOUDA)    46.6 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [start] WATERBUS STOP
    0.2 km   Houd rechts aan naar Kraanbaan
    0.5 km   Linksaf naar Havenplein
    0.5 km   Linksaf
    0.7 km   Houd links aan naar Cortgene
    0.8 km   Ga rechtdoor
    1.0 km   Houd links aan
    1.3 km   Houd links aan
    1.4 km   Houd links aan
    1.7 km   Houd links aan
    2.0 km   Houd links aan
    2.2 km   Houd links aan naar West Kinderdijk
    2.5 km   Linksaf naar West Kinderdijk
    2.7 km   Houd links aan naar West Kinderdijk
    2.7 km   Linksaf naar Floris Klooswerf
    2.9 km   Houd rechts aan naar West Kinderdijk
    2.9 km   Rechtsaf naar Molenkade
    3.2 km   Linksaf naar Molenkade
    3.9 km   Linksaf
    3.9 km   Linksaf naar Nederwaard
  ★ 3.9 km  [see] Museum mill
  ★ 4.3 km  [see] Kinderdijk Wind mills
    4.4 km   Blijf op Nederwaard
  ★ 4.5 km  [see] Museum mill
  ★ 4.9 km  [coffee] Café and Souvenirs
  ★ 4.9 km  [note] Ticket Office Windmill Tours
  ★ 4.9 km  [restroom] ca € 1,00 pp
  ★ 5.0 km  [rest_stop] Benches
  ★ 5.0 km  [note] Entrance
    5.2 km   Ga rechtsaf
    5.2 km   Ga linksaf naar Molenstraat
    5.3 km   Rechtsaf naar Molenstraat
    5.4 km   Houd links aan
    5.5 km   Houd rechts aan naar Lekweg
    5.7 km   Houd rechts aan
    5.7 km   Rechtsaf naar Veerdam
    5.8 km   Attention, take ferry (Autoveer Krimpen aan de Lek - Kinderdijk)
  ★ 5.8 km  [ferry] Ferry Krimpen ca € 1,00 pp
    6.1 km   Leave ferry and blijf op Kerkestoep
  ★ 6.2 km  [ferry] Waterbus to Alblasserdam
    7.0 km   Houd links aan naar Hoofdstraat
    7.1 km   Linksaf naar Groenland
    7.2 km   Rechtsaf naar Krilpad
    7.6 km   Rechtsaf naar Lekbospad
    7.6 km   Houd rechts aan naar Lekbospad
    8.2 km   Linksaf naar Breekade (follow 1.3 km)
    9.5 km   Linksaf naar N210 Parallelweg
    9.6 km   Rechtsaf naar Breekade
    9.6 km   Houd rechts aan naar Breekade
    9.7 km   Blijf op Breekadepad Zuid (follow 1.5 km)
   11.2 km   Houd links aan naar Hillekade
   11.3 km   Blijf op Kerkweg
   11.4 km   Linksaf naar Loet (follow 2.8 km)
  ★ 13.6 km  [rest_stop] Kiosk Loetbos — Open when sun  shines, benches
  ★ 13.6 km  [restroom] Public Toilet
   14.2 km   Linksaf naar Loet (follow 1.0 km)
   15.2 km   Rechtsaf naar Westeinde (follow 2.0 km)
   17.2 km   Linksaf naar Dorpsstraat (follow 2.1 km)
  ★ 17.2 km  [coffee] Schapenschuurtje
   19.3 km   Rechtsaf naar Achterbroek (follow 3.6 km)
   22.9 km   Houd links aan naar Beijerscheweg (follow 2.2 km)
  ★ 25.0 km  [rest_stop] Beijersche Schuur — small farm store with tea and coffee
   25.1 km   Linksaf naar Beijerscheweg
   25.4 km   Houd links aan naar Beijerscheweg
   25.4 km   Linksaf naar Goudseweg (follow 2.1 km)
   27.5 km   Blijf op Schoonhovenseweg
   27.9 km   Houd rechts aan naar Verkeersplein Stolwijkersluis
   27.9 km   Linksaf naar Verkeersplein Stolwijkersluis
   27.9 km   Linksaf naar Verkeersplein Stolwijkersluis
   28.0 km   Blijf op Schoonhovenseweg
   28.1 km   Houd rechts aan naar Schoonhovenseweg
   28.2 km   Ga linksaf naar Goejanverwelledijk
   28.4 km   Houd links aan naar Nieuwe Veerstal
   28.4 km   Blijf op Nieuwe Veerstal
   28.7 km   Houd rechts aan naar Oosthaven
  ★ 29.1 km  [see] St. Janskerk — stained glass windows
   29.1 km   Rechtsaf naar Wijdstraat
   29.2 km   Blijf op Markt
   29.3 km   Rechtsaf naar Markt
  ★ 29.4 km  [restroom] inside bike parking
  ★ 29.4 km  [bike_parking] free bike parking
  ★ 29.4 km  [see] Old Weigh House — Cheese Museum an Tourist Office
  ★ 29.4 km  [food] Pannekoe, old fashioned pancake restaurant
  ★ 29.4 km  [bar] Café's and Restaurants
   29.4 km   Rechtsaf naar Markt
  ★ 29.5 km  [note] Main squar: shops, restarants, cafés
   29.5 km   Linksaf naar Wijdstraat
   29.6 km   Rechtsaf naar Wijdstraat
   29.6 km   Linksaf naar Westhaven
   30.1 km   Houd links aan naar Westhaven
   30.1 km   Linksaf naar Nieuwe Veerstal
   30.4 km   Rechtsaf naar Goejanverwelledijk
   30.6 km   Houd links aan naar Nieuwe Veerstal
   30.6 km   Linksaf naar Goejanverwelledijk
   30.7 km   Rechtsaf naar Goejanverwelledijk
