SALINA ROUNDTOUR    26.0 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Docking Salina
    0.0 km   Start Radtour; Wasser zur rechten Seite
    0.1 km   Schräg links
    0.2 km   Rechts abbiegen
    0.4 km   Links abbiegen
    0.8 km   Geradeaus weiterfahren (follow 7.5 km)
    8.4 km   Rechts abbiegen (follow 3.9 km)
   12.3 km   Links abbiegen (follow 1.6 km)
   13.9 km   Geradeaus weiterfahren (follow 6.4 km)
   20.2 km   Rechts abbiegen (follow 2.5 km)
   22.7 km   Links abbiegen
   22.8 km   Rechts abbiegen
   22.9 km   Geradeaus weiterfahren
   23.0 km   Schräg rechts
   23.1 km   Schräg links
   23.3 km   Geradeaus weiterfahren
   23.3 km   Links abbiegen
   23.4 km   Rechts abbiegen (follow 2.0 km)
   25.3 km   Schräg rechts
   25.7 km   Scharf rechts
   25.9 km   Ende der Radtour
