DOESBURG VELUWEZOOM ZUTPHEN    35.6 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [note] Koffiebar Granos
    0.0 km   Scharf links abbiegen auf Koepoortstraat
    0.2 km   Rechts halten auf Koepoortstraat
    0.3 km   Rechts abbiegen auf Koepoortwal (follow 2.0 km)
    2.3 km   Dem Straßenverlauf von Fraterwaard folgen (follow 2.0 km)
    4.3 km   Links abbiegen auf Arnhemsestraatweg
    4.3 km   Rechts abbiegen auf Oude Arnhemsestraatweg
    5.0 km   Rechts abbiegen auf Doesburgsedijk
    5.2 km   Links abbiegen auf Lagestraat
    5.5 km   Scharf rechts abbiegen auf Aan 't Veer
    5.6 km   Leicht rechts abbiegen auf Kruisstraat
    5.8 km   Rechts abbiegen auf Zutphensestraatweg
    6.4 km   Rechts abbiegen auf Zutphensestraatweg
    6.7 km   Links abbiegen auf Zutphensestraatweg
    6.7 km   Rechts abbiegen auf Kanaaldijk
    7.3 km   Scharf links abbiegen auf Kanaaldijk
    7.6 km   Rechts abbiegen auf Dorpsweg
    8.0 km   Links abbiegen auf Kerkweg
    8.1 km   Rechts halten auf Kerkweg
    8.2 km   Scharf links abbiegen auf Kerkweg
    9.2 km   Links abbiegen auf Kappersweg
    9.7 km   Rechts abbiegen auf Weg door van Rhemenshei
   10.7 km   Links abbiegen auf Broekdijk (follow 1.4 km)
   12.0 km   Dem Straßenverlauf von Badhuislaan folgen
   12.7 km   Rechts abbiegen auf Jut van Breukelerwaardlaan
   12.7 km   Rechts halten auf Jut van Breukelerwaardlaan
   13.1 km   Rechts abbiegen auf Professor Huetlaan
   14.0 km   Links halten auf Soerense Zand Zuid
   14.1 km   Links abbiegen auf Soerense Zand Zuid
   14.7 km   Links halten auf Soerense Zand Zuid
   15.2 km   Rechts abbiegen auf Soerense Zand Noord
   15.5 km   Leicht rechts abbiegen auf Loubergweg
   15.8 km   Links abbiegen auf Stuijvenburchstraat
   16.6 km   Rechts abbiegen auf Doctor Gunningstraat
   16.9 km   Links abbiegen auf Molenstraat
   16.9 km   Links halten auf Kanaalweg (follow 2.1 km)
   19.0 km   Links abbiegen auf Slatweg
   19.1 km   Links abbiegen auf Oude Zutphenseweg
   19.1 km   Rechts abbiegen auf Blaarweg
   19.9 km   Rechts abbiegen auf Langedijk (follow 1.3 km)
   21.2 km   Links abbiegen auf Hallsedijk (follow 2.2 km)
   23.4 km   Rechts halten auf Hallseweg
   23.8 km   Scharf links abbiegen auf Hallseweg
   24.7 km   Leicht links abbiegen auf Gravenstraat
   25.5 km   Rechts abbiegen auf Gravenstraat (follow 1.5 km)
   27.0 km   Leicht links abbiegen auf Enkweg (follow 1.6 km)
   28.6 km   Links abbiegen auf Schoolstraat
   28.8 km   Rechts abbiegen auf Voorsterklei (follow 2.4 km)
   31.2 km   Links abbiegen auf Wellenbergweg
   31.2 km   Scharf rechts abbiegen auf Voorsterklei
   31.3 km   Rechts halten auf Sinderensdijk
   32.3 km   Links halten auf Sinderensdijk (follow 2.2 km)
   34.5 km   Links abbiegen auf Weg naar Voorst
   34.8 km   Links abbiegen auf Weg naar Voorst
   35.5 km   Rechts abbiegen auf IJsselkade
