GENT (EVERGEM) - BRUGES (VIA BULSKAMPVELD)    51.6 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Mooring Evergem
    0.1 km   Rechts abbiegen
    0.2 km   Rechts abbiegen
    0.3 km   Rechts abbiegen
    0.4 km   Rechts abbiegen auf Wijmenstraat
    0.7 km   Links abbiegen auf Brugsevaart, N9
    0.8 km   Links abbiegen
    0.8 km   Leicht rechts abbiegen auf Speistraat
    1.2 km   Rechts abbiegen
    1.2 km   Rechts abbiegen
    1.7 km   Rechts halten
    2.1 km   Links abbiegen auf Vinderhoutse Dam
    2.4 km   Scharf links abbiegen auf Neerstraat (follow 1.2 km)
    3.6 km   Im Kreisverkehr Ausfahrt 2 auf Pastoor Moernautstraat nehmen
    4.2 km   Rechts halten auf Kasteellaan
    4.4 km   Rechts abbiegen auf Drongense steenweg
    4.4 km   Im Kreisverkehr Ausfahrt 2 auf Drongense steenweg nehmen
    4.7 km   Links abbiegen
    4.9 km   Links abbiegen auf Lovaart (follow 4.6 km)
  ★ 7.1 km  [see] Castle Lovendegem — Private property.
  ★ 7.1 km  [see] Castle Lovendegem — Private property.
    9.5 km   Links abbiegen auf Veldestraat
  ★ 9.7 km  [see] museum of weird bicycles
  ★ 9.7 km  [see] Museum Crazy Bicycles (Gekke Fietsen)
    9.8 km   Rechts abbiegen auf Leikanttragel (follow 1.9 km)
   11.7 km   Links abbiegen auf Lokestraat
   11.9 km   Links abbiegen auf Lokestraat
   12.1 km   Scharf rechts abbiegen auf Hammestraat (follow 1.4 km)
   13.5 km   Scharf links abbiegen auf Vaartstraat, N461
   13.8 km   Rechts abbiegen auf Warandestraat (follow 1.4 km)
   15.2 km   Leicht rechts abbiegen auf Mariahovelaan
   15.4 km   Links halten (follow 1.5 km)
   16.8 km   Links abbiegen auf Mariahovelaan
   16.9 km   Leicht rechts abbiegen auf Bellemdorpweg (follow 2.2 km)
  ★ 16.9 km  [bar] cafe
  ★ 16.9 km  [bar] cafe
   19.1 km   Scharf links abbiegen auf Lotenhullestraat
   19.3 km   Links abbiegen auf Kraenepoelpad
   19.4 km   Rechts abbiegen auf Kraenepoelpad
   19.9 km   Links abbiegen auf Kestelstraat
   20.0 km   Dem Straßenverlauf von Kestelstraat folgen
   20.1 km   Links abbiegen auf Oude Gentweg
   20.4 km   Links abbiegen auf Langendamdreef
   20.5 km   Rechts abbiegen auf Lovelddreef
   21.1 km   Rechts abbiegen auf Loveldlaan (follow 1.2 km)
   22.4 km   Links abbiegen auf Bellemstraat
   22.5 km   Leicht rechts abbiegen
   22.5 km   Rechts abbiegen auf Markt, N499
  ★ 22.5 km  [bar] Cafe
  ★ 22.5 km  [note] Lunch
  ★ 22.5 km  [bar] Cafe Aalter
   22.6 km   Leicht links abbiegen auf Brouwerijstraat
   22.8 km   Rechts halten
   23.0 km   Rechts halten
   23.0 km   Rechts abbiegen auf Brouwerijstraat
   23.0 km   Links abbiegen auf Lindestraat
   24.0 km   Links abbiegen auf Bollebekstraat (follow 1.0 km)
   25.0 km   Scharf rechts abbiegen auf Wageweg
   25.4 km   Links abbiegen (follow 3.8 km)
   29.2 km   Rechts abbiegen auf Schuurlo (follow 1.8 km)
   31.0 km   Dem Straßenverlauf von Bakensgoed folgen (follow 1.2 km)
   32.2 km   Rechts abbiegen auf Beelkens / Kliplo (follow 1.2 km)
   33.4 km   Rechts abbiegen
   34.4 km   Rechts abbiegen auf Scheiddreef
   34.5 km   Links abbiegen
   35.0 km   Links abbiegen auf Scheiddreef
   36.0 km   Rechts abbiegen
   36.9 km   Rechts abbiegen
   37.4 km   Scharf links abbiegen
   37.5 km   Rechts abbiegen
  ★ 37.5 km  [bar] cafe/restaurant — Bulskamperveld:
0032-50662766
  ★ 37.5 km  [note] Estate — Herb garden, toilets, cafe/restaurant behind children playground
  ★ 37.5 km  [note] Estate — Herbgarden, toilet,  cafe/restaurant
  ★ 37.5 km  [bar] cafe/restaurant — Bulskamperveld:
0032-50662766
   38.2 km   Links abbiegen auf Heirweg (follow 2.3 km)
   40.5 km   Rechts halten auf Stuivenbergstraat
   40.8 km   Rechts abbiegen auf Bornebeekstraat (follow 1.0 km)
   41.9 km   Links halten auf Halvemaanstraat
   42.2 km   Links abbiegen auf Gevaerts-Zuid (follow 3.2 km)
  ★ 45.3 km  [monument] Canadian War Memorial Moerbrugge
  ★ 45.3 km  [monument] Canadian War Memoral Moerbrugge
   45.3 km   Scharf rechts abbiegen
   45.3 km   Links abbiegen auf Westdijk
   45.6 km   Leicht rechts abbiegen auf Westdijk (follow 2.5 km)
   48.1 km   Links abbiegen
   48.2 km   Rechts abbiegen
   48.3 km   Links abbiegen
   48.3 km   Rechts abbiegen
   48.6 km   Links abbiegen
   48.6 km   Links abbiegen
   48.7 km   Rechts abbiegen auf Tragelweg
   48.8 km   Rechts abbiegen auf Tragelweg (follow 1.3 km)
   50.1 km   Leicht links abbiegen auf Lappersfortstraat
   50.2 km   Links halten
   50.7 km   Links halten
   51.0 km   Links abbiegen auf Katelijnebrug, N50
   51.0 km   Scharf links abbiegen
   51.2 km   Links halten
   51.4 km   Links abbiegen
  ★ 51.6 km  [dock/stay] barge Brugge
  ★ 51.6 km  [dock/stay] Mooring Bargeweg Brugge
