DEN HELDER - SINT MAARTENSVLOTBRUG (VIA ANNA PAULOWNA)    33.7 km    · signs & notes only ·

Knooppunten: 7 · 9 · 11 · 72 · 15 · 14 · 34 · 44 · 32 · 38

DIRECTIONS
    0.2 km   Turn right onto Havenweg
    0.3 km   Turn left onto Havenweg
    0.3 km   Turn left onto Binnenhaven (follow 1.3 km)
    1.6 km   Turn left , cross the road and bear left onto the bike path (follow 1.2 km)
    2.8 km   Continue straight to junction 7
    3.3 km   Follow signs to junction 9 (exit left, heading S) toward junction 11
    5.2 km   Follow signs to junction 11 via the bike path (exit left, heading W) toward junction 72
   10.3 km   Follow signs to junction 72 (exit left, heading S) toward junction 15
   14.0 km   Follow signs to junction 15 via bridge (exit straight, heading SE) toward junction 14
  ★ 18.1 km  [see] Poldertuin - mini keukenhof
  ★ 18.6 km  [coffee] Restaurant/bar 'Leuk'
   18.7 km   Follow signs to junction 14 (exit straight, heading S) toward junction 34
   22.8 km   Follow signs to junction 34 (exit right, heading SW) toward junction 44
   25.8 km   Follow signs to junction 44 (exit left, heading SW) toward junction 32
   28.8 km   Follow signs to junction 32 (exit straight, heading W) toward junction 38
   29.6 km   Follow signs to junction 38 (exit left)
  ★ 33.7 km  [dock/stay] Pickup Sint Maartensvlotbrug
