SENS - VILLENEUVE SUR YONNE    52.8 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Sens Mooring
    0.0 km   Turn right
    0.1 km   Keep right onto Quai Jean Moulin
    0.2 km   Turn sharp right
  ★ 0.2 km  [note] Sens market
  ★ 0.2 km  [monument] Sens Cathedral
    0.3 km   Turn slight right
    0.3 km   Turn left
    0.3 km   Turn slight left (follow 1.4 km)
    1.7 km   Turn sharp left
    2.2 km   Turn right onto Route de Saint-Paul à Rosoy (follow 1.1 km)
  ★ 2.7 km  [park] Sens Parc de moulin an Tan
    3.3 km   Turn left onto Chemin de la Croisière
    4.0 km   At roundabout, take exit 1 onto Rue du Saule Fendu
    5.0 km   Keep right onto Rue du Stade (follow 6.6 km)
   11.7 km   Turn right onto Rue du Pressoir
   12.1 km   Turn right onto Rue de Malay (follow 9.0 km)
  ★ 14.9 km  [bar] Theil-sur-Vanne bar terras en bakker — Le Sabbatin
  ★ 18.4 km  [bar] Vareilles kunstenaars bar Le Maquis — Alleen open in weekend of bellen.. Verkopen brocante, regionale producten en drankjes en lekkers. Erg aardige local mevrouw. +33 386883115.
   21.1 km   Continue onto Rue des Vallées (follow 5.1 km)
   26.2 km   Turn slight right onto Route des Sièges
   26.6 km   Keep right onto Route de Cerisiers (follow 5.9 km)
  ★ 26.6 km  [convenience_store] Vaudeurs Boulanger
  ★ 28.6 km  [winery] Le Brissot Cider museum
  ★ 32.5 km  [note] Paardrijschool — Severine: +33-631791725
   32.5 km   Turn slight right onto Avenue de la République
  ★ 32.9 km  [bar] Villechétive Bar
   33.0 km   Keep left onto Place des Héros
   33.1 km   Turn left onto Rue de Saint-Ange
   33.4 km   Turn right onto Rue de la Messe
   33.6 km   Turn left onto D 201 (follow 4.8 km)
   38.4 km   Turn left onto Route des Marnières
   38.6 km   Turn right onto Route des Marnières (follow 2.4 km)
   40.9 km   Turn slight right onto D 20
   41.8 km   Turn right onto Rue des Remparts
   41.9 km   Turn left onto Rue Neuve
   42.0 km   Turn right onto Rue de la Mairie
   42.1 km   Turn left onto Rue Saint-Gervais
   42.1 km   Turn right onto Rue d'Eichtal (follow 10.0 km)
  ★ 47.9 km  [monument] Prieuré
   52.1 km   Turn left onto Faubourg Saint-Nicolas
  ★ 52.1 km  [note] Villeneuve-sur-Yonne
   52.5 km   Turn right onto Rue Jorge Semprun
  ★ 52.5 km  [coffee] Villeneuve-sur-Yonne Café's
   52.6 km   Turn right onto Rue de Bretoche
   52.7 km   Turn slight right onto Rue du Batardeau
   52.7 km   Turn left onto Place André Verly
  ★ 52.8 km  [dock/stay] Villeneuve-sur-Yonne mooring
